zip_code,median_income,population_below_poverty,unemployed_population
94945,120692,1290,293
94970,122721,64,11
95032,153214,888,570
95039,41154,225,20
95110,98209,2368,503
95126,108503,3809,1024
95127,104518,4533,1806
95207,54951,9047,2268
95222,53674,611,169
95250,-666666666,0,0
95303,115500,228,46
95306,39353,114,31
95323,75197,172,93
95372,82979,113,52
95417,65875,0,0
95466,40625,318,24
95468,71563,178,62
95488,-666666666,33,27
95543,32500,139,8
95587,-666666666,0,0
95608,67766,7373,1904
95610,65972,5152,1519
95638,70313,154,29
95658,108871,160,216
95678,77437,4049,1310
95703,83657,75,46
95814,37595,2665,383
95819,113879,1148,553
95835,104404,1507,842
95838,50161,8153,1545
95920,46875,67,1
95930,-666666666,0,0
95971,58523,647,141
95982,84500,170,97
95984,-666666666,161,40
96006,51964,104,23
96074,45625,2,0
96080,49259,5090,1219
96109,63218,238,30
96125,96406,0,0
96148,81833,0,0
90007,30530,13792,2788
90024,63344,11077,2221
90028,50253,6323,2296
90039,88104,2742,1017
90230,87469,3966,810
90232,98116,1077,442
90248,63620,1093,337
90501,75388,5184,1357
90640,62521,7616,2409
90713,108311,1306,870
91007,84833,3011,759
91304,71039,6222,1667
91381,134115,965,877
91384,111990,1106,731
91401,57493,7942,1428
91790,84505,3370,1269
91906,48100,1047,86
91915,125864,2244,1010
91978,84266,1321,478
92003,89201,520,152
92029,96690,975,215
92059,96500,137,30
92061,43787,456,28
92084,77970,5091,1027
92210,108750,324,79
92241,31478,1560,152
92258,-666666666,269,53
92325,63707,1131,216
92356,36701,2212,345
92373,81557,2710,954
92382,66011,572,111
92394,61270,7512,1504
92408,57197,2619,495
92508,121021,2710,967
92532,92288,3320,938
92570,62764,9427,2214
92590,63938,1096,154
92620,116650,3238,1043
92705,106058,3970,774
93010,95836,2958,1023
93066,106900,127,44
93210,61808,2705,635
93218,26905,237,36
93234,31788,2996,580
93251,46719,32,12
93277,65975,6552,1260
93287,101250,3,0
93516,51012,671,54
93551,93637,3328,1282
93627,-666666666,0,0
93648,38724,5038,321
94014,98879,3146,1185
94019,140460,1256,403
94021,246133,54,23
94027,250001,174,134
94104,56944,68,7
94519,105774,1954,386
94525,89630,198,130
94533,75544,8766,2720
94564,105217,702,529
94569,-666666666,0,0
94590,57254,6788,1474
94601,53433,12053,1778
94806,68012,6890,2379
94903,106919,1594,1148
94925,153101,477,250
94956,76818,90,78
95006,111792,607,455
95037,128381,2187,1071
95206,53830,13147,2645
95209,84387,4664,1599
95247,56313,158,56
95313,41071,228,90
95348,51340,7907,1634
95355,67205,4937,1841
95356,76225,2870,961
95388,48750,2306,915
95426,95369,90,27
95460,58705,46,31
95525,50833,313,122
95616,61213,16602,1936
95628,89923,3298,1049
95636,52639,113,63
95637,52115,54,0
95650,103669,1040,89
95661,88966,2616,818
95666,71648,489,165
95728,96310,0,26
95928,56204,8666,1763
95939,46125,116,22
95950,33309,252,52
95970,65625,139,11
95987,72500,692,121
95993,74188,3153,1377
96007,48996,3468,659
96011,25089,104,27
96040,80875,0,0
96088,53654,261,31
96093,45208,929,211
90001,48011,13996,2300
90005,42398,9590,1007
90029,45004,8459,1960
90044,39434,28398,3745
90240,87107,1771,658
90255,49366,14999,3568
90263,-666666666,0,109
90272,199598,887,306
90732,101738,1308,608
90802,60939,6366,1916
90808,111163,2287,716
91020,65506,1178,349
91108,163654,939,142
91351,85755,3671,894
91411,61914,4395,968
91501,73622,2016,836
91702,68058,7439,2005
91731,48723,5643,1007
91767,63283,9060,1747
91770,61394,7845,1455
92109,92379,3709,877
92126,99376,6031,1941
92399,73647,4678,1589
92583,46844,6238,1444
92629,105014,1356,622
92630,99565,4735,1649
92648,97470,3153,852
92651,129164,1430,957
93021,119139,1666,883
93065,100497,4975,1678
93204,49781,2829,468
93221,61782,2724,848
93254,39375,68,38
93401,78788,3842,631
93440,73375,18,6
93445,66428,832,85
93449,90837,650,102
93513,56466,151,29
93528,-666666666,48,0
93618,46804,9627,1524
93638,49021,15305,3094
93664,106071,17,0
93702,30473,16562,2055
93925,50987,382,15
94028,221667,178,83
94061,119370,2070,1005
94063,80313,4278,549
94121,107158,4493,1022
94132,82557,4045,1642
94521,104141,2468,1146
94553,106557,2906,1400
94556,152965,879,351
94561,102911,3135,1291
94602,107208,2010,887
94608,95716,3982,1188
94801,66476,5285,1084
94939,136604,386,158
95005,87860,405,214
95008,121231,3604,706
95017,59609,61,18
95136,119081,3824,841
95139,157500,124,215
95251,61316,27,0
95258,94464,181,34
95315,62533,2437,801
95367,70248,3163,722
95407,68720,6251,1136
95422,36623,4447,1101
95453,55625,1455,281
95458,49137,434,58
95497,78125,109,12
95526,32500,59,2
95542,27534,517,26
95602,85662,1359,280
95651,-666666666,42,0
95655,94028,444,87
95683,111865,222,70
95829,97009,3300,720
95919,78625,119,8
95941,58654,281,0
96002,60102,5627,833
96019,48586,1707,249
96044,51786,168,70
96063,51250,10,11
96091,44922,62,55
90059,44839,10209,1906
90242,73037,2847,1318
90304,47612,5399,903
90503,97688,2772,951
90605,77482,4466,983
90706,63848,9804,3022
90723,57313,8373,1469
91011,170571,664,263
91331,64375,17440,3033
91354,130557,1397,994
91360,94149,2977,860
91362,119967,2563,948
91423,90783,2437,1880
91737,103679,1455,815
91740,89655,2201,710
91776,65563,4929,1119
91801,66804,5460,1336
91948,-666666666,0,0
92078,91564,4916,998
92104,73447,4916,1575
92110,77579,3474,804
92114,73090,8291,2817
92115,56137,14805,2377
92123,90602,3755,1653
92243,47614,11941,2297
90033,43646,12772,1373
90034,80773,4902,1774
90037,37945,20519,2270
90062,52661,5838,890
90064,103045,2124,476
90067,111299,146,71
90241,72274,4633,1564
90247,61234,7263,1195
90250,60162,14264,3293
90278,126979,1614,864
90402,145742,585,310
90701,74523,1223,529
90742,81528,10,33
91706,68773,9550,2415
91709,104661,5697,2148
91745,88702,4668,1456
91750,93166,2681,1295
91761,76207,6616,2040
91775,94024,1988,584
91911,65074,10632,5986
91916,89531,129,19
91962,130938,26,79
92036,64861,233,65
92037,113676,3578,997
92067,212188,936,69
92086,38152,161,28
92102,54862,7369,1765
92106,114158,1074,306
92173,48967,6188,1454
92230,47500,393,44
92231,42739,7959,2454
92234,50350,10082,1795
92256,44944,625,127
92266,-666666666,0,0
92281,31935,1051,163
92282,41534,331,32
92316,63529,4414,661
92336,96447,8586,2059
92359,58250,982,242
92364,-666666666,5,0
92372,52500,560,71
92384,147000,0,0
92398,55572,94,184
92504,69531,6891,2000
92553,54234,14243,3656
92584,97674,3215,1791
92591,89574,3165,1374
92596,103138,3258,1218
92610,141629,435,444
92708,89478,4933,1541
92802,66429,7270,1253
93030,78522,6751,1689
93206,43889,578,38
93256,34607,1509,286
93267,32003,2944,501
93286,44980,3057,313
93301,31089,5223,919
93313,83312,5318,2167
93432,93017,16,0
93441,94464,27,17
93460,98968,692,110
93461,61250,133,65
93512,42708,4,1
93514,64330,1371,382
93645,-666666666,0,26
93701,23356,4659,538
94022,250001,693,261
94030,126319,1221,536
94037,167888,0,161
94044,130327,1656,773
94115,125550,3546,769
94127,176025,788,370
94306,167043,1872,474
94511,62019,478,79
94530,107621,2095,701
94535,70943,198,87
94536,132568,4768,1374
94592,171000,214,26
94599,65962,241,65
94619,106875,1444,676
94621,40813,7876,1383
94703,87114,2797,772
94951,96155,192,103
95007,-666666666,82,0
95012,69528,1245,382
95113,131094,356,65
95132,130078,3510,1435
95203,46892,3395,671
95230,90417,66,15
95233,114861,25,16
95242,75491,2059,973
95254,101745,0,42
95317,47109,79,19
95326,75388,1081,313
95386,59833,2009,324
95410,70972,128,60
95429,-666666666,0,0
95442,144129,464,96
95443,-666666666,128,18
95451,54189,1528,539
95454,35947,568,203
95459,52415,83,41
95470,63969,556,131
95626,76607,762,131
95682,87974,1869,456
95688,98579,2720,670
95709,71659,1072,129
95726,75213,1031,173
95747,113991,4420,1509
95817,52323,3411,466
95820,55003,7303,1674
95903,51940,88,6
95922,75795,66,16
95932,55284,593,102
95943,71250,138,0
95947,43194,274,90
95953,59875,2014,298
96015,-666666666,175,0
96031,23500,36,3
96037,83723,2,0
96048,52950,68,23
96054,42386,43,12
96058,39821,58,5
96119,-666666666,0,0
96121,73150,0,0
96146,78409,43,11
90011,44616,29775,4786
90036,84315,3761,1562
90222,57101,6955,1267
90301,51498,7018,1651
90305,88910,1570,448
90403,111611,2017,957
90638,92508,2307,1439
90703,108844,2129,1308
90815,100034,3696,1172
91201,59073,3245,1136
91208,104866,959,598
91324,83894,3827,981
91352,58696,6372,1395
91355,95640,2416,892
91356,80872,2982,1007
91607,76092,3502,1398
91755,59285,3552,713
91766,61018,12003,2000
92004,61809,154,49
92203,77281,3369,820
92227,47367,8358,2294
92267,-666666666,0,0
92278,61481,0,10
92284,45511,5666,1219
92501,71204,2169,748
92562,95156,3733,2214
92595,79895,3143,1132
92626,95175,4054,1319
92660,135373,2244,746
92688,116557,2704,876
92694,171121,645,575
92782,125469,1510,412
92821,96700,2529,1187
92833,88725,5311,1873
92841,65934,5255,1115
92869,121712,2026,755
92870,100685,4073,1199
93012,106388,2155,917
93023,80685,1723,581
93041,64208,2639,755
93063,96654,4612,1371
93109,99556,2005,390
93207,20500,62,5
93235,39332,1002,207
93249,35833,451,39
93257,44693,17888,4625
93266,51776,170,21
93283,37015,1008,52
93424,80857,91,0
93437,67917,87,49
93451,70568,689,103
93505,47641,2881,856
93510,101750,841,153
93517,70260,10,0
93601,64634,102,71
93605,63250,35,10
93611,98228,2824,1571
93626,90703,165,48
93631,72786,1032,345
93634,-666666666,13,5
93666,25990,448,36
93908,143750,460,129
94025,169352,2428,907
94080,106352,4423,952
94301,169270,960,314
94403,139631,2758,1133
