zip_code,median_income,population_below_poverty,unemployed_population
91207,85107,1182,193
91345,80759,1756,658
91601,57411,6300,1365
91744,74100,8862,2810
91773,89669,2923,680
91803,66169,4708,579
92273,32961,595,207
92338,-666666666,0,0
92371,62143,3946,979
92377,95953,2445,894
92392,61872,7998,2185
92401,34167,587,58
92410,41060,13646,1525
92503,75415,10232,2155
92506,101670,4129,1220
92518,75741,247,0
92548,53643,1150,346
92549,79276,372,101
92586,44179,1940,642
92587,88771,1826,341
92612,74672,9525,930
92646,102473,3281,1275
92701,53710,11249,1429
92707,86001,6337,1623
92805,71253,11729,1824
93001,66460,4487,966
93205,23051,1142,97
93238,23325,137,2
93244,68750,1,3
93263,45867,5466,808
93531,93850,0,27
93536,84674,7492,1591
93552,66289,5936,1225
93553,62875,251,52
93641,-666666666,87,17
93647,41402,4150,876
93650,38616,764,163
93660,39625,1057,229
93667,62446,348,94
93711,74979,3203,1232
93721,28101,1689,328
93930,57007,2764,168
93953,143750,101,53
94002,159599,1571,803
94024,247604,600,417
94040,139717,2481,690
94060,113056,76,0
94066,112933,2341,1180
94086,145103,2921,1091
94131,172785,1246,596
94509,68224,10212,3283
94541,82690,7588,1826
94545,88764,2392,1092
94555,161175,1045,883
94580,96581,2198,805
94587,120772,4199,1595
94595,78874,622,227
94596,115938,1398,614
94598,156280,859,615
94606,63188,5858,1621
94607,60181,5629,1196
94706,107669,1750,333
94923,66975,22,147
94940,-666666666,0,0
94947,111285,1625,543
94949,96356,758,597
94960,148163,523,407
94965,108901,990,312
94971,109063,8,0
94972,-666666666,0,0
95002,100000,94,38
95062,88204,4069,880
95112,74019,10315,1953
95116,70656,6850,1465
95125,121428,3122,1386
95129,157747,1478,771
95134,153719,2344,494
95219,82078,1531,706
95220,94740,561,241
95236,74613,424,173
95240,55933,8647,2294
95252,81289,776,280
95255,42083,273,0
95301,60993,6448,1682
95338,52280,1803,324
95350,57291,7702,1935
95351,44517,10955,2988
95361,75138,3333,1543
95409,77849,1544,797
95420,132992,2,0
95425,81905,962,100
95427,45722,129,73
95445,59109,184,0
95471,-666666666,113,31
95482,56556,5420,1373
95519,56422,3016,458
95550,86156,5,2
95567,84302,197,14
95570,51458,384,130
95601,42250,7,4
95619,57052,951,240
95624,100453,5407,1828
95662,76079,2978,773
95663,120742,119,78
95669,85758,201,118
95694,87097,1054,141
95713,75369,1015,116
95722,88125,116,125
95815,42276,6303,1294
95824,40979,8998,1111
95828,56190,11568,2514
95843,82000,5199,1361
95864,107115,2246,588
95912,64923,455,89
95914,-666666666,119,0
95954,53547,1797,366
95966,48228,4686,806
95981,-666666666,0,0
96014,34125,17,0
96022,63606,2115,324
96024,48125,198,17
96028,40688,83,39
96068,-666666666,71,7
90004,52775,9951,2331
90012,49905,6961,1347
90025,97791,5116,1706
90058,27708,1277,166
90066,87589,4537,1882
90265,163909,1565,375
90277,104859,1302,763
90623,107956,955,213
90680,69212,4432,1206
90717,75286,2848,329
90740,72226,1239,363
90810,60486,5943,1507
91325,72041,5510,687
91326,120563,1534,849
91754,66218,3709,856
91789,105848,2657,853
92118,108992,1205,348
92139,75576,3006,1268
92154,70846,9569,3350
92211,66202,2906,432
92220,44167,6306,1069
92249,58148,1077,184
92253,76158,5828,1406
92270,84891,2149,782
92304,-666666666,5,0
92305,88846,155,10
92308,54738,7498,1506
92309,38750,121,21
92321,49018,147,54
92324,58589,8660,1892
92333,80000,15,0
92337,84649,3762,1366
92374,78191,5337,1317
92386,38378,578,20
92539,52857,565,88
92543,38686,8295,2134
92551,71947,4374,1347
92657,187396,693,138
92662,127443,37,94
92679,182857,1037,699
92804,66936,14189,2481
92843,70680,5930,1003
92886,129253,2791,1066
93035,85218,1911,734
93040,65625,220,84
93060,63573,4970,858
93108,165764,540,326
93268,45655,5797,897
93402,81494,1493,312
93427,106682,179,46
93442,73701,904,479
93465,99989,375,325
93526,54861,44,7
93534,43247,9679,1237
93560,63936,3713,1162
93628,-666666666,0,0
93643,59452,427,242
93644,55678,1494,262
93673,46406,170,12
93906,75373,6611,1638
93924,127813,573,72
94005,114583,157,246
94105,250001,1012,431
94110,138890,6550,2255
94117,167807,3112,1094
94122,122144,5225,1797
94523,124375,2541,649
94526,163801,1248,714
94567,53813,183,11
94568,148083,2146,1163
94572,78175,1465,380
94576,-666666666,15,0
94586,164063,38,22
94589,71715,3230,1357
94618,169856,970,515
94705,139029,1161,276
94805,89443,796,210
94937,74500,56,15
94941,166934,1543,487
95045,81886,182,130
95054,158212,1480,847
95060,87159,9759,1640
95120,207959,1296,643
95121,111105,3260,1187
95131,139427,2088,1006
95202,17270,2506,211
95212,97775,2213,882
95224,-666666666,0,0
95246,72841,60,7
95365,45640,1306,280
95401,80164,4666,918
95404,86555,3982,951
95405,94411,1411,1079
95423,46833,593,129
95428,41096,710,162
95431,-666666666,37,0
95446,75035,550,180
95450,62679,0,19
95501,43932,4492,1193
95503,57565,4160,949
95605,60309,2465,464
95606,56413,81,9
95623,67961,684,131
95633,75276,584,74
95659,54833,101,3
95670,71732,5908,1821
95674,94722,31,14
95686,40333,345,68
95714,57500,70,14
95721,-666666666,0,0
95736,56845,0,16
95818,88101,2672,706
95827,63936,2845,771
95926,51838,10281,1561
95936,-666666666,0,0
95975,68172,382,8
96009,47153,0,0
96069,65417,330,82
96071,-666666666,11,0
96096,54844,81,11
96103,68526,124,27
96110,61875,0,0
96112,31406,54,9
96126,-666666666,30,0
96137,47697,484,83
96150,62541,2944,829
90016,49958,7725,1529
90017,36870,10352,824
90031,51076,7668,1733
90043,56285,7828,2397
90048,93583,1937,762
90049,133032,2574,774
90057,41748,13464,2046
90071,61895,7,0
90221,53683,9063,1926
90260,70389,3746,1416
90302,54432,4775,1189
90405,96352,2622,1076
90505,95113,2256,833
90670,71318,1927,270
90807,77966,2575,632
91105,137637,930,314
91303,62848,5580,1263
91311,96432,2718,1165
91316,76088,3467,1347
91403,101021,1659,1393
91752,89255,4011,1030
91902,106769,931,823
91931,63455,105,20
91942,66551,5389,1231
92009,138138,2209,1310
92057,81339,5009,1648
92108,80572,2182,693
92113,43958,11511,2343
92119,97965,1369,305
92120,102597,2633,999
92127,147827,1166,1170
92128,104501,2687,1459
92201,44215,12827,3515
92262,55757,5422,1091
92314,56132,1769,412
92320,61067,883,149
92341,34375,80,0
92347,38140,208,30
92405,41631,8645,1187
92602,101459,2364,478
92627,85585,7471,1893
92647,91331,6260,2319
92676,107083,105,39
92780,75626,6800,1454
92808,130818,863,608
92831,80279,5236,1610
92883,107393,2089,883
93013,82231,1224,381
93222,46625,287,3
93245,65631,4467,1157
93262,-666666666,45,0
93280,39425,4502,1033
93306,54450,15853,2379
93429,-666666666,0,0
93434,55511,1834,136
93532,76250,179,105
93550,48002,16422,2881
93563,200625,13,0
93657,60689,7691,736
93705,44509,9705,1798
93901,72434,3367,776
93950,89088,855,424
93955,68772,4073,1143
94107,166430,2865,677
94401,94334,4267,1133
94515,85263,455,161
94544,89657,5735,1891
94549,185950,977,557
94611,136538,2033,632
94924,86806,216,25
95010,81095,1292,90
95014,179702,3309,720
95035,136966,4872,1492
95050,102000,4887,843
95117,104160,2967,998
95123,121404,4268,1635
95223,61331,211,103
95226,-666666666,0,0
95227,99671,138,16
95237,71979,484,85
95330,89653,2645,763
95358,62244,5225,1576
95364,-666666666,0,0
95374,51845,287,70
95380,48137,9048,2047
95385,70189,19,22
95403,79990,3771,1016
95476,87374,2404,904
95546,28083,1237,108
95554,48409,72,0
95564,41875,49,35
95595,-666666666,14,8
95612,117694,9,38
95632,77351,2871,1202
95639,59167,15,15
95690,65742,354,86
95715,-666666666,3,0
95758,92222,5237,2380
95776,84856,2309,493
95821,47056,7580,1308
95842,54146,6541,1381
95918,73977,190,20
95934,-666666666,44,0
95955,47083,293,50
95961,60348,3689,935
96008,64131,229,1
96017,35208,48,0
96039,33523,253,87
96075,-666666666,48,0
96130,56458,1542,218
96132,30714,18,0
96140,88920,103,39
96143,51500,460,28
90027,71651,5908,2036
90245,115846,834,655
90290,129000,283,200
90291,99496,2994,1180
90502,85515,1663,452
90822,-666666666,0,0
91010,83051,2555,1081
91104,78285,4771,880
91367,95212,4492,1828
91739,119397,1683,901
92111,77249,5860,1893
92124,94485,2357,586
92404,49799,11981,2183
92411,44129,7490,918
92505,71139,7114,1858
92530,64270,7993,2020
92582,72701,1987,696
92624,115403,257,121
92692,125115,2365,1233
92844,63598,4079,697
92865,107706,1449,519
92868,69034,3318,762
93105,103156,1888,487
93212,42983,3911,575
93223,44286,2784,480
93243,34006,275,154
93261,20956,1135,369
93274,55269,13951,2291
93292,67433,7500,1042
93312,97615,4049,1897
93436,63966,7518,2051
93463,98116,531,213
93501,41047,1211,177
93603,-666666666,99,0
93656,51830,1227,155
93921,93234,36,1
93927,63696,2561,242
94089,130164,1231,543
94112,105340,7190,2164
94303,120754,3841,1046
94508,111750,311,157
94517,145426,212,431
94603,55692,6482,959
94804,63764,7128,1556
94928,78181,4322,902
94950,153220,14,0
94973,120825,120,64
95003,115633,1132,563
95076,76010,10674,3191
95111,77009,5794,1472
95321,55966,349,98
95327,43313,1209,321
95334,59412,2786,739
95354,52352,3799,1160
95379,56625,276,85
95412,69375,68,24
95444,63396,0,0
95449,60192,254,108
95463,61447,0,0
95527,41328,91,3
95558,65875,93,2
95614,105919,334,123
95646,124167,17,5
95672,111034,257,52
95685,56599,365,137
95693,100479,658,145
95720,-666666666,3,0
95825,45248,11760,1952
95837,145833,26,15
95948,56667,948,391
95963,49937,2343,409
95983,47321,8,0
96016,-666666666,147,19
96025,36538,406,67
96027,56801,261,89
96056,59650,294,26
96061,-666666666,0,0
96076,27619,45,10
96136,-666666666,18,0
96141,69688,124,16
90069,90546,1904,910
90716,61525,2782,283
90805,53299,17843,3976
91205,47160,7519,1471
91306,73894,8342,1974
91340,64479,3916,952
91343,67043,11037,2231
91730,74943,7113,2637
91763,63529,7228,1360
91792,85040,3585,942
91932,59795,3632,1074
91977,71396,7293,2429
92024,125458,2559,1192
92064,115391,2383,1605
92075,104201,637,148
92103,78338,3003,747
92223,86068,6050,1792
92233,40587,1101,162
92251,82394,1385,806
92259,35739,26,0
92264,60318,2817,802
90008,47230,6407,1428
90021,21625,1384,254
90035,99367,1891,818
90046,72457,5472,2496
90201,46109,25563,3340
90220,61279,10480,2231
90249,65397,2860,426
90266,153926,1114,843
90270,50996,5484,907
90274,181776,1001,372
90275,145816,1537,836
90293,104814,663,573
90401,95217,1185,387
90601,76177,2945,771
90604,77898,2943,978
90630,102263,3244,1022
90650,77425,10102,2837
90715,74471,1775,651
90743,142000,34,5
90806,57037,8595,1428
91006,105011,2604,731
91214,108583,1360,780
91302,149724,2410,1102
91320,125093,2811,749
91364,110525,1859,1124
91377,137047,517,412
91406,61880,8457,2003
91505,89021,3216,1250
91602,81795,1590,1204
91701,100653,1611,811
91724,84679,2561,1224
91759,97109,7,0
91765,101161,3222,1054
91780,83029,3569,860
91784,133287,1417,580
